# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.578000000000000E+009,-3.510357737541199E-001,1.466965895103731E-001,-2.976998219500332E-004,1.814467832446098E-003,4.329563341523434E+000,-4.073785781860352E+000,7.506950944662094E-002,5.924914696584767E-002,
2.579300000000000E+009,-3.497349917888641E-001,1.519832467094854E-001,1.689115806193157E-003,9.348898893222213E-004,3.878095938781298E+000,-4.498001575469971E+000,8.258298784494400E-002,4.834320691647574E-002,
2.580600000000000E+009,-3.480814397335053E-001,1.670730057987951E-001,4.351328172884058E-005,-2.012317418120801E-004,3.367970217613234E+000,-4.865065574645996E+000,8.819694817066193E-002,3.182579092697659E-002,
2.581900000000000E+009,-3.417499959468842E-001,1.752406831292062E-001,-1.247566850375358E-003,5.943506839685142E-004,2.827002882467294E+000,-5.178295135498047E+000,8.026719093322754E-002,1.052530785935352E-002,
2.583200000000000E+009,-3.405466377735138E-001,1.816941485688969E-001,2.221117931257646E-004,1.970649231225252E-003,2.290090401632703E+000,-5.462837219238281E+000,7.309666275978088E-002,-7.394410028378570E-003,
2.584500000000000E+009,-3.376318812370300E-001,1.911097063613734E-001,-7.069579390916731E-004,-6.560500478371978E-004,1.675593782192947E+000,-5.699896812438965E+000,6.829924136400223E-002,-1.770303478292831E-002,
2.585800000000000E+009,-3.301151096820831E-001,1.979833486755085E-001,-1.810114345882987E-005,1.170904259197414E-003,1.103383546622080E+000,-5.788409709930420E+000,5.824531242251396E-002,-3.161951099834022E-002,
2.587100000000000E+009,-3.289558589458466E-001,2.013256306646983E-001,5.537711841599601E-004,-4.561974492389709E-004,4.578958710978098E-001,-5.855182170867920E+000,5.076798424124718E-002,-4.313835820768269E-002,
2.588400000000000E+009,-3.291995227336884E-001,2.062018662978095E-001,-1.696489250963933E-004,1.315372210228816E-004,-1.104228253839664E-001,-5.855375766754150E+000,3.399629145860672E-002,-5.823517128906658E-002,
2.589700000000000E+009,-3.302509188652039E-001,2.210146659799261E-001,-5.655128697668102E-004,4.072010924573988E-004,-7.563269579470731E-001,-5.844261169433594E+000,2.837208844721317E-002,-6.532486484781330E-002,
2.591000000000000E+009,-3.197467327117920E-001,2.251047979632340E-001,1.555317943161905E-003,1.770213944837451E-003,-1.345566341903342E+000,-5.722266674041748E+000,2.763768192380667E-003,-7.953978954106616E-002,
2.592300000000000E+009,-3.123038411140442E-001,2.286418133184780E-001,-3.033693184562617E-004,-1.095362822525203E-003,-1.916122901412217E+000,-5.522575378417969E+000,-8.405409753322601E-003,-8.462197992133705E-002,
2.593600000000000E+009,-3.095346987247467E-001,2.469662395201164E-001,-9.855111370728690E-004,1.147723232861608E-004,-2.490276697446192E+000,-5.296050071716309E+000,-2.940703742206097E-002,-8.390339669270112E-002,
2.594900000000000E+009,-3.067924976348877E-001,2.550363040744779E-001,-1.130926559454660E-003,6.688149005640298E-005,-3.048326892540063E+000,-5.002386093139648E+000,-4.131323099136353E-002,-8.720071373893878E-002,
2.596200000000000E+009,-3.015052080154419E-001,2.596241703499066E-001,1.306858951811447E-003,5.627444479614496E-004,-3.502064160601304E+000,-4.645669937133789E+000,-5.158920958638191E-002,-8.465729096898834E-002,
2.597500000000000E+009,-3.042952716350555E-001,2.753479949943178E-001,-1.260884634025192E-003,1.403024652972817E-003,-3.981036730756960E+000,-4.245151519775391E+000,-7.201039046049118E-002,-7.442915616891253E-002,
2.598800000000000E+009,-2.990814745426178E-001,2.829020113937233E-001,-1.910436884296319E-003,-2.571402292232961E-004,-4.406736790157205E+000,-3.818321466445923E+000,-9.106653183698654E-002,-7.733999254413344E-002,
2.600100000000000E+009,-2.903175950050354E-001,2.784807664504251E-001,6.348625812033995E-004,6.418845150619745E-004,-4.754379626544641E+000,-3.348367452621460E+000,-1.032784804701805E-001,-6.721972935541337E-002,
2.601400000000000E+009,-2.884297370910645E-001,2.882074428941165E-001,-8.017571502750613E-004,1.785676926374435E-003,-5.070066538769577E+000,-2.831339359283447E+000,-1.090926080942154E-001,-4.974847377082303E-002,
2.602700000000000E+009,-2.798531353473663E-001,2.918961798521537E-001,-4.330905783294986E-005,1.245525199919939E-004,-5.331681308858554E+000,-2.277189493179321E+000,-1.254890710115433E-001,-4.350736382214835E-002,
2.604000000000000E+009,-2.744470238685608E-001,3.068582868521341E-001,9.692935960291613E-004,-1.156761776655912E-003,-5.528466971616719E+000,-1.710578918457031E+000,-1.375917345285416E-001,-2.658230616784808E-002,
2.605300000000000E+009,-2.674762606620789E-001,3.165201727151503E-001,9.761458822256850E-004,1.573781337356195E-004,-5.668772799690208E+000,-1.101564526557922E+000,-1.402344405651093E-001,-1.838299369248630E-002,
2.606600000000000E+009,-2.687997221946716E-001,3.194673046713299E-001,5.678107993865077E-004,5.851059104315937E-004,-5.761409600971803E+000,-5.265693068504334E-001,-1.445880085229874E-001,6.910886294838652E-003,
2.607900000000000E+009,-2.580645978450775E-001,3.284621184232397E-001,1.018048051935114E-004,7.398981251753867E-004,-5.742930309725968E+000,9.975722432136536E-002,-1.440112441778183E-001,1.557601814542445E-002,
2.609200000000000E+009,-2.541756927967072E-001,3.358481845818535E-001,3.068726936401933E-005,9.331685141660273E-004,-5.699077090590153E+000,6.572103500366211E-001,-1.454620659351349E-001,3.480695299034159E-002,
2.610500000000000E+009,-2.539075911045075E-001,3.414039713960517E-001,2.892651656229455E-004,-2.650618553161621E-004,-5.613237664504635E+000,1.278443098068237E+000,-1.437527686357498E-001,4.591163508394466E-002,
2.611800000000000E+009,-2.425380349159241E-001,3.469541472723299E-001,-1.131813852949730E-003,7.602119585499167E-004,-5.442696815950855E+000,1.814537286758423E+000,-1.407378315925598E-001,6.213367275042419E-002,
2.613100000000000E+009,-2.366194128990173E-001,3.513101203773017E-001,3.399287103292304E-004,3.647204430308193E-004,-5.192098353967310E+000,2.390564918518066E+000,-1.362278163433075E-001,7.434197688987812E-002,
2.614400000000000E+009,-2.307640910148621E-001,3.568122428970412E-001,2.115992194609977E-004,1.303154975175858E-003,-4.946853177230064E+000,2.884154319763184E+000,-1.253983378410339E-001,9.317913962177653E-002,
2.615700000000000E+009,-2.161748111248016E-001,3.663328706005193E-001,6.373702113393208E-004,8.058825624175370E-004,-4.557195988755147E+000,3.404268503189087E+000,-1.127536296844482E-001,9.945297186467025E-002,
2.617000000000000E+009,-2.140603214502335E-001,3.695753638924682E-001,-1.481695872026842E-003,-5.036920192651451E-004,-4.160800238138138E+000,3.863234996795654E+000,-9.868136048316956E-002,1.059436401904759E-001,
2.618300000000000E+009,-2.058669626712799E-001,3.723505662826569E-001,5.725924041586247E-005,1.064883894287050E-003,-3.732801939855154E+000,4.269438266754150E+000,-8.676362037658691E-002,1.137335631481578E-001,
2.619600000000000E+009,-2.026298642158508E-001,3.775193840043577E-001,-7.552005620779499E-004,3.155632293783128E-004,-3.275377132155426E+000,4.616884708404541E+000,-7.249560952186585E-002,1.201237586371203E-001,
2.620900000000000E+009,-1.905130743980408E-001,3.883155022457157E-001,-2.978587127967790E-004,9.643704834161326E-005,-2.788402917955807E+000,4.901293277740479E+000,-5.534062534570694E-002,1.285033091287053E-001,
2.622200000000000E+009,-1.885345131158829E-001,3.872706885432018E-001,1.202469746184641E-004,-1.885965903056786E-004,-2.291877673589512E+000,5.166043281555176E+000,-3.181293606758118E-002,1.251084445430069E-001,
2.623500000000000E+009,-1.799508035182953E-001,3.962454336475890E-001,6.515416661946260E-004,-2.574089558038395E-005,-1.725812443176186E+000,5.356329441070557E+000,-2.372113801538944E-002,1.267275633317345E-001,
2.624800000000000E+009,-1.740154922008514E-001,4.034738631787566E-001,1.490824073946143E-004,-8.148243068717420E-004,-1.184863970500189E+000,5.473078250885010E+000,-8.202574215829372E-003,1.217110924294759E-001,
2.626100000000000E+009,-1.615130007266998E-001,4.086976669665081E-001,3.879441276411476E-004,4.712280642706901E-004,-6.094336819105505E-001,5.556223869323731E+000,6.266193930059671E-003,1.123223502651552E-001,
2.627400000000000E+009,-1.521381139755249E-001,4.115304986716399E-001,-2.591410598351770E-004,-2.049611794063821E-004,1.247792062049641E-003,5.587505340576172E+000,1.851552166044712E-002,1.011526626555523E-001,
