# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.397772480693106E+009,1.498914262391747E-001,-2.570440331758640E-002,1.188822854253275E-003,3.333772212898838E-003,-1.351878155827573E+000,7.323079654103677E-001,8.436153477950424E-002,1.328304850603312E-001,
2.397786467749955E+009,1.469863975903071E-001,-3.436807542340026E-002,1.667799422845511E-004,-3.236719938305133E-003,-1.322667726179126E+000,7.669421880587244E-001,7.571323907718812E-002,1.259764099196903E-001,
2.397800454888394E+009,1.431138577151131E-001,-2.735668489698094E-002,2.258509763640633E-003,3.265089274773579E-003,-1.335660409727283E+000,7.426945886070364E-001,8.281617414611918E-002,1.384372807468166E-001,
2.397814442108426E+009,1.410920004658108E-001,-2.414730390527873E-002,5.013141598317547E-004,-6.758588942157758E-003,-1.320731041690325E+000,7.529739661176309E-001,8.668193321649489E-002,1.331965920047857E-001,
2.397828429410050E+009,1.411755643825489E-001,-4.373097320521546E-002,-3.776791735052119E-003,-1.246007189386317E-003,-1.339237534833234E+000,7.831292521464113E-001,7.790767164936135E-002,1.320024002984567E-001,
2.397842416793268E+009,1.393809734051694E-001,-3.756990266434673E-002,2.177244183339544E-003,7.055970799045878E-005,-1.339277922175408E+000,7.787293335274774E-001,9.558801617742177E-002,1.321901435835616E-001,
2.397856404258078E+009,1.475139209298242E-001,-3.803546523018612E-002,9.797943217519467E-004,-3.647029336018637E-003,-1.330985053004102E+000,7.562207681322185E-001,8.339698096078974E-002,1.251681071524070E-001,
2.397870391804483E+009,1.475328205586211E-001,-3.496368231519697E-002,-3.419028898443843E-003,-5.178004803939539E-003,-1.328459134208544E+000,7.826476839731578E-001,7.574596195914693E-002,1.428466333879115E-001,
2.397884379432481E+009,1.534354743803216E-001,-2.772285387943842E-002,-4.650377096663723E-004,-2.608849668817948E-003,-1.337746144283573E+000,7.800338589403472E-001,8.643666607251441E-002,1.276415235125169E-001,
2.397898367142075E+009,1.386967895001591E-001,-4.507902309551404E-002,6.440097647448901E-004,5.699155370894684E-004,-1.309292072556503E+000,7.872154019645732E-001,7.976972317181399E-002,1.246435094882678E-001,
2.397912354933263E+009,1.516115274713794E-001,-3.213237958990670E-002,-1.639034378327691E-003,-2.377912160465423E-004,-1.351766402737822E+000,8.041877033021927E-001,6.665548584705680E-002,1.228237762888450E-001,
2.397926342806048E+009,1.387223880910322E-001,-4.941227268484588E-002,2.747274498328534E-003,2.239200425135869E-003,-1.330274367713435E+000,7.962223782318871E-001,7.725212655334648E-002,1.504275336865737E-001,
2.397940330760428E+009,1.527567083525128E-001,-3.630322421553052E-002,2.369220884599317E-003,1.812267831585247E-004,-1.326441235492627E+000,7.634661756146550E-001,8.393449343835917E-002,1.321039194951619E-001,
2.397954318796406E+009,1.541665458691183E-001,-4.662966375154605E-002,6.379804134402813E-003,-2.995313638528719E-003,-1.328049583005523E+000,7.882812022873077E-001,9.079334383555385E-002,1.420020732739609E-001,
2.397968306913981E+009,1.576509036557457E-001,-2.599929963723017E-002,-4.841608970236155E-004,6.339961996023474E-004,-1.338396613052965E+000,8.107654553195263E-001,7.144867872638129E-002,1.251237819316246E-001,
2.397982295113153E+009,1.364188904894497E-001,-1.677050412480306E-002,-4.183260383484873E-003,-6.653528072325711E-004,-1.309290195191784E+000,8.239494965635074E-001,7.766111885464416E-002,1.232747759097231E-001,
2.397996283393923E+009,1.525168366630837E-001,-3.352134790500130E-002,5.339719470950362E-003,2.251928604141529E-003,-1.341662734962822E+000,7.923786369744633E-001,8.604197566270508E-002,1.418435599285230E-001,
2.398010271756292E+009,1.394156915699481E-001,-2.525767310816956E-002,1.902008656069035E-004,1.797756508382692E-004,-1.307174788790055E+000,8.308113131543994E-001,8.202142267397888E-002,1.420305412308873E-001,
2.398024260200260E+009,1.473703798489421E-001,-3.124573653039729E-002,9.795429097540559E-005,-2.486163437280843E-003,-1.333801719395324E+000,8.191670856508229E-001,6.902328278164618E-002,1.253527473300269E-001,
2.398038248725827E+009,1.466112192824401E-001,-3.202550473361567E-002,1.642420994581677E-003,1.809356136443416E-003,-1.302595873874300E+000,8.096313623863043E-001,8.187475657177518E-002,1.357684480316285E-001,
2.398052237332995E+009,1.422984057741145E-001,-3.737652307985746E-002,8.571563094493599E-004,9.269221294449198E-004,-1.283573081607076E+000,7.917685106683141E-001,6.453790996378656E-002,1.407444107821869E-001,
2.398066226021763E+009,1.447326098918713E-001,-5.322709730452270E-002,-2.371915180460478E-004,2.920743898380088E-003,-1.345475128146898E+000,8.166515296169424E-001,8.831088001115184E-002,1.185881149669355E-001,
2.398080214792132E+009,1.465752415941994E-001,-4.821300839484476E-002,-7.710830732988548E-004,1.983806659548602E-003,-1.306778963362754E+000,8.284059086598623E-001,8.990528570580514E-002,1.411992379976434E-001,
2.398094203644103E+009,1.542441224461330E-001,-4.438060567345637E-002,-6.990315477433575E-004,9.923016440643343E-004,-1.319690172339997E+000,8.466456867988577E-001,7.993319814926475E-002,1.418621995410159E-001,
